Species,Ecomorph,BodyLength,ForeLimbLength,digit_1
alumina,Bush,7.950901223,1.252873678,0.18946976
alutaceus,Bush,7.367275476,1.30781047,0.212425883
anfiloquioi,Bush,7.298164106,1.324097287,0.176024442
bahorucoensis,Bush,10.09737904,1.347383404,0.222231773
clivicola,Bush,8.814624288,1.440501748,0.232711612
cupeyalensis,Bush,6.605946361,1.17651576,0.152438416
cyanopleurus,Bush,7.278462436,1.330433328,0.198211339
dolichocephalus,Bush,8.021528861,1.314439607,0.215043474
hendersoni,Bush,9.958033396,1.2336163,0.209543818
inexpectatus,Bush,6.746955622,1.270990106,0.182543072
juangundlachi,Bush,7.141932936,1.185533395,0.180903407
krugi,Bush,11.25877844,1.302171212,0.218297782
olssoni,Bush,9.216503952,1.255094437,0.206805953
ophiolepis,Bush,7.840037082,1.1465507,0.181886895
poncensis,Bush,10.49836486,1.26081877,0.204575893
pulchellus,Bush,10.40004258,1.244190767,0.195707202
pumilus,Bush,7.359851523,1.382095559,0.193499228
rejectus,Bush,6.828623505,1.166660668,0.169841947
semilineatus,Bush,9.261114706,1.173876369,0.200013062
spectrum,Bush,7.322812553,1.286130327,0.171581766
vanidicus,Bush,6.640489498,1.316690758,0.20208302
aliniger,Tree,9.052612276,1.367516315,0.222639067
allisoni,Tree,14.53958759,1.297136412,0.186545276
brunneus,Tree,15.44261992,1.300878989,0.191086452
chlorocyanus,Tree,16.11561085,1.305350139,0.208080987
chlorodius,Tree,14.41662807,1.362019605,0.229256701
coelestinus,Tree,15.30218961,1.346324045,0.216818919
eladioi,Tree,11.84227307,1.40969558,0.221916855
evermanni,Tree,14.58901234,1.504865877,0.253569737
fairchildi,Tree,14.41265951,1.394478959,0.200364195
grahami,Tree,15.46643588,1.364636174,0.20022256
isolepis,Tree,9.036170512,1.243447098,0.16732752
longiceps,Tree,14.13460454,1.362596229,0.19632489
maynardi,Tree,16.30496218,1.2787377,0.188832535
opalinus,Tree,10.16374111,1.500551578,0.23860496
pecuarius,Tree,16.24326008,1.353299762,0.21953721
peynadoi,Tree,15.79980041,1.288392578,0.209683379
porcatus,Tree,14.1617025,1.350511183,0.185238692
singularis,Tree,8.362285869,1.395192676,0.226493094
stratulus,Tree,10.4112454,1.525024964,0.262574837
viridius,Tree,13.22971679,1.316807402,0.208040955
