Species,Ecomorph,BodyLength,ForeLimbLength,digit_1,HindLimbLength,toe_1
ahli,TrunkGround,10.37654604,1.455132566,0.246787827,1.998739785,0.622030365
aliniger,TrunkCrown,9.052612276,1.367516315,0.222639067,1.662204948,0.49478186
allisoni,TrunkCrown,14.53958759,1.297136412,0.186545276,1.639034759,0.474863187
allogus,TrunkGround,13.32907328,1.506957108,0.239638251,1.94827764,0.584400576
altavelensis,Trunk,11.08843263,1.512477062,0.235200058,1.871590034,0.487625274
alumina,GrassBush,7.950901223,1.252873678,0.18946976,2.19709905,0.674956822
alutaceus,GrassBush,7.367275476,1.30781047,0.212425883,2.386771074,0.67935562
anfiloquioi,GrassBush,7.298164106,1.324097287,0.176024442,2.601986612,0.70889633
angusticeps,Twig,9.572867966,1.339225167,0.197255664,1.649817266,0.465606867
argillaceus,Trunk,9.733791963,1.391334972,0.213184986,1.601727396,0.46276117
armouri,TrunkGround,18.29962379,1.434486232,0.250801057,1.972880016,0.605121905
bahorucoensis,GrassBush,10.09737904,1.347383404,0.222231773,2.17385764,0.688235974
baleatus,CrownGiant,30.91656527,1.497583656,0.216997346,1.888518249,0.520752632
baracoae,CrownGiant,32.05747341,1.445185289,0.19618098,1.820742913,0.52168902
barahonae,CrownGiant,34.67679624,1.464988875,0.215099196,1.818979314,0.511676689
brevirostris,Trunk,10.51199352,1.623180364,0.244559061,2.005391428,0.52655602
brunneus,TrunkCrown,15.44261992,1.300878989,0.191086452,1.683597338,0.466474855
caudalis,Trunk,10.22100901,1.604676324,0.245639727,1.941741406,0.525150436
centralis,Trunk,10.12640553,1.402416082,0.211472158,1.600519372,0.461644387
chlorocyanus,TrunkCrown,16.11561085,1.305350139,0.208080987,1.705536151,0.471846415
chlorodius,TrunkCrown,14.41662807,1.362019605,0.229256701,1.73705221,0.523217469
clivicola,GrassBush,8.814624288,1.440501748,0.232711612,2.35956049,0.675557602
coelestinus,TrunkCrown,15.30218961,1.346324045,0.216818919,1.672441364,0.501281273
conspersus,TrunkGround,14.32288538,1.417983138,0.233648177,1.828200611,0.551812751
cooki,TrunkGround,14.67414092,1.406427562,0.214678521,1.923074358,0.584181419
cristatellus,TrunkGround,15.80371743,1.385704555,0.222911573,1.898212721,0.550577356
cupeyalensis,GrassBush,6.605946361,1.17651576,0.152438416,2.02196616,0.648203871
cuvieri,CrownGiant,29.77196563,1.484001347,0.217002589,2.002013156,0.535901499
cyanopleurus,GrassBush,7.278462436,1.330433328,0.198211339,2.342691276,0.642732844
cybotes,TrunkGround,16.22614372,1.395227401,0.22660723,1.872215843,0.553926842
desechensis,TrunkGround,13.3301752,1.409482881,0.236423463,1.907819536,0.606739159
distichus,Trunk,11.10557583,1.57131604,0.251450337,1.866169722,0.51684943
