Taxon,Family,Diet,brain_size,neocortex,olfactory_bulb
Paranyctimene_raptor,Pteropodidae,fruit,690.6,198.3,42
Nyctimene_robinsoni,Pteropodidae,fruit,1161.8,335.1,81.1
Nyctimene_albiventer,Pteropodidae,fruit,779.1,219.1,52.5
Nyctimene_vizcaccia,Pteropodidae,fruit,933.7,257,73.2
Sphaerias_blanfordi,Pteropodidae,fruit,777.5,223.8,33.5
Balionycteris_maculata,Pteropodidae,fruit,484.5,135,31.2
Chironax_melanocephalus,Pteropodidae,fruit,572.5,168.3,35.8
Megaerops_ecaudatus,Pteropodidae,fruit,755.8,246.8,45.5
Cynopterus_sphinx,Pteropodidae,fruit,1129.9,352.2,70.2
Cynopterus_brachyotis,Pteropodidae,fruit,926.8,287.6,59.6
Cynopterus_horsfieldii,Pteropodidae,fruit,1301,432.3,66
Megaloglossus_woermanni,Pteropodidae,fruit,645,190.1,25.3
Eidolon_helvum,Pteropodidae,fruit,4018.6,1406,208.7
Myonycteris_torquata,Pteropodidae,fruit,1097.2,336.5,56.1
Rousettus_aegyptiacus,Pteropodidae,fruit,2112.6,687.4,114.5
Rousettus_amplexicaudatus,Pteropodidae,fruit,1624.7,469.6,117.1
Casinycteris_argynnis,Pteropodidae,fruit,791.1,233.7,28.6
Scotonycteris_zenkeri,Pteropodidae,fruit,669.7,182.5,37
Hypsignathus_monstrosus,Pteropodidae,fruit,3249.1,1056,136.3
Epomops_franqueti,Pteropodidae,fruit,2077.2,614.8,107.8
Micropteropus_pusillus,Pteropodidae,fruit,779.5,242.9,37.4
Epomophorus_labiatus,Pteropodidae,fruit,1489.5,460.8,86.9
Eonycteris_spelaea,Pteropodidae,fruit,1239.9,384,67
Macroglossus_minimus,Pteropodidae,fruit,530.8,155.7,26.9
Macroglossus_sobrinus,Pteropodidae,fruit,657.7,186.2,33.2
Syconycteris_australis,Pteropodidae,fruit,541,170,29.5
Notopteris_macdonaldi,Pteropodidae,fruit,1385,419.9,63
Melonycteris_melanops,Pteropodidae,fruit,1225.7,414.2,63.7
Melonycteris_woodfordi,Pteropodidae,fruit,965.5,320,44.6
Dobsonia_inermis,Pteropodidae,fruit,2555.3,834.8,145.6
Dobsonia_praedatrix,Pteropodidae,fruit,2836.3,933,199.6
Pteropus_neohibernicus,Pteropodidae,fruit,8486.6,3676,344
Pteropus_hypomelanus,Pteropodidae,fruit,4978.1,1906,219.5
Pteropus_alecto,Pteropodidae,fruit,6617.8,2716,238.2
Pteropus_conspicillatus,Pteropodidae,fruit,7848.6,3339,306.2
Pteropus_samoensis,Pteropodidae,fruit,5448.9,2144,214.4
Pteropus_tonganus,Pteropodidae,fruit,5730.2,2237,224.2
Pteropus_temminckii,Pteropodidae,fruit,4607.4,1814,194.3
Pteropus_poliocephalus,Pteropodidae,fruit,6762.2,2710,252.9
Pteropus_lylei,Pteropodidae,fruit,5700.7,2386,207.8
Pteropus_vampyrus,Pteropodidae,fruit,8501,3610,376.4
Pteropus_mahaganus,Pteropodidae,fruit,4980.1,1915,168.1
Pteropus_scapulatus,Pteropodidae,fruit,5074.1,2078,177.5
Cardioderma_cor,Megadermatidae,insects,631.1,186.3,8.1
Lavia_frons,Megadermatidae,insects,611.4,171.4,4.4
Macroderma_gigas,Megadermatidae,insects,1603.4,510.5,21.6
Megaderma_lyra,Megadermatidae,insects,856.2,244.6,18
Megaderma_spasma,Megadermatidae,insects,607.6,172.9,10.5
Craseonycteris_thonglongyai,Craseonycteris,insects,81.7,17.5,0.7
Rhinopoma_hardwickii,Rhinopomatidae,insects,260,54,6.2
Rhinopoma_microphyllum,Rhinopomatidae,insects,364.5,77.5,8.8
Rhinolophus_pusillus,Rhinolophidae,insects,155.2,29.6,3.4
Rhinolophus_cornutus,Rhinolophidae,insects,183.5,37.5,3.6
Rhinolophus_lepidus,Rhinolophidae,insects,174.8,32.6,4.2
Rhinolophus_eloquens,Rhinolophidae,insects,382.3,76.5,9.4
Rhinolophus_hipposideros,Rhinolophidae,insects,140.4,19,2
Rhinolophus_luctus,Rhinolophidae,insects,583.5,135.6,6.9
Rhinolophus_macrotis,Rhinolophidae,insects,195.9,32.4,3.9
Rhinolophus_malayanus,Rhinolophidae,insects,190.9,34.5,4
Rhinolophus_megaphyllus,Rhinolophidae,insects,247.2,49.6,4.6
Rhinolophus_paradoxolophus,Rhinolophidae,insects,250.1,46.9,5.4
